# units Angstroms
3888.65	   HeI
4026.19    HeI
4044.42    AI
4131.73    AII
4158.59    AI
4181.88    AI
4198.32    AI
4259.36    AI
4277.55    AII
4348.11    AII
4371.36    AII
4387.93    HeI
4401.02	   AII
4426.01    AII
4471.48    HeI
4481.83    AII
4501.73    AI
4545.08    AII
4579.39    AII
4589.93    AII
4609.60    AII
4657.94    AII
4702.32    AI
4713.14    HeI
4726.91    AII
4735.93    AII
4764.89    AII
4806.07    AII
4847.90    AII
4879.90    AII
4889.06    AII
4921.93    HeI
4965.12    AII
5015.68    HeI
5047.74    HeI
5062.07    AII
5162.28    AI
5187.74    AI
5221.27    AI
5252.79    AI
5421.35    AI
5451.65    AI
5495.87    AI
5558.70    AI
5572.54    AI
5606.73    AI
5650.70    AI
5739.52    AI
5834.26    AI
5860.31    AI
5875.62    HeI
5888.58    AI
5912.08    AI
5928.81    AI
6032.13    AI
6043.22    AI
6098.80    AI
6105.63    AI
6114.92    AII
6145.44    AI
6173.09    AI
6296.87    AI
6307.66    AI
6384.72    AI
6416.30    AI
6483.10    AII
6678.15    HeI
6752.83    AI
6871.29    AI
6937.67    AI
6965.43    AI
7030.25    AI
7065.19	   HeI
7147.04    AI
7206.98    AI
7272.94    AI
7281.35    HeI
7311.72    AI
7353.32    AI
7372.12    AI
7383.98    AI
7503.87    AI
7514.65    AI
7635.11    AI
7723.99    AI
7891.08    AI
7948.18    AI
8006.16    AI
8014.79    AI
8103.69    AI
8115.31    AI
8264.52    AI
8408.21    AI
8424.65    AI
8521.44    AI
8605.78    AI
8667.94    AI
8761.72    AI
9122.97    AI
9194.68    AI
9224.50    AI
9291.58    AI
9354.22    AI
9657.78    AI
9784.50    AI
